BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2016-04-06,Yandex clA,YNDX,922,32540105.5,1035.5,1026.5,1047.0,1041.0,1037.5,1041.0,31361,1037.5,1037.5,1041.0,32540105.5,32540105.5,32540105.5,,3,SUR,0.19
TQBR,2016-04-07,Yandex clA,YNDX,1354,72773187.5,1041.0,1035.5,1063.5,1060.0,1052.0,1060.0,69169,1052.0,1052.0,1060.0,72773187.5,72773187.5,72773187.5,,3,SUR,1.83
TQBR,2016-04-08,Yandex clA,YNDX,2332,127262635.5,1042.5,1018.0,1049.5,1018.0,1034.5,1018.0,123002,1034.5,1034.5,1018.0,127262635.5,127262635.5,127262635.5,,3,SUR,-3.96
TQBR,2016-04-11,Yandex clA,YNDX,2071,116666024.5,1015.0,1011.5,1054.5,1045.0,1037.5,1045.0,112451,1037.5,1037.5,1045.0,116666024.5,116666024.5,116666024.5,,3,SUR,2.65
TQBR,2016-04-12,Yandex clA,YNDX,2611,119967651.5,1042.5,1041.5,1093.0,1088.5,1072.0,1088.5,111892,1072.0,1072.0,1088.5,119967651.5,119967651.5,119967651.5,,3,SUR,4.16
TQBR,2016-04-13,Yandex clA,YNDX,2078,105096304.5,1093.0,1089.5,1133.0,1127.0,1113.0,1127.0,94438,1113.0,1113.0,1127.0,105096304.5,105096304.5,105096304.5,,3,SUR,3.54
TQBR,2016-04-14,Yandex clA,YNDX,1399,79716450.0,1112.0,1090.0,1124.0,1109.5,1108.0,1109.5,71959,1108.0,1108.0,1109.5,79716450.0,79716450.0,79716450.0,,3,SUR,-1.55
TQBR,2016-04-15,Yandex clA,YNDX,663,37260671.0,1104.5,1101.5,1114.5,1109.0,1109.0,1109.0,33596,1109.0,1109.0,1109.0,37260671.0,37260671.0,37260671.0,,3,SUR,-0.05
TQBR,2016-04-18,Yandex clA,YNDX,1363,53325566.0,1091.0,1084.0,1139.0,1130.0,1111.5,1130.0,47984,1111.5,1111.5,1130.0,53325566.0,53325566.0,53325566.0,,3,SUR,1.89
TQBR,2016-04-19,Yandex clA,YNDX,1507,62029551.0,1139.5,1130.0,1150.0,1148.0,1142.0,1148.0,54309,1142.0,1142.0,1148.0,62029551.0,62029551.0,62029551.0,,3,SUR,1.59
TQBR,2016-04-20,Yandex clA,YNDX,1621,72297671.5,1147.0,1142.5,1188.0,1186.0,1166.0,1186.0,62000,1166.0,1166.0,1186.0,72297671.5,72297671.5,72297671.5,,3,SUR,3.31
TQBR,2016-04-21,Yandex clA,YNDX,1963,101407577.0,1186.0,1171.0,1209.5,1200.0,1190.0,1200.0,85214,1190.0,1190.0,1200.0,101407577.0,101407577.0,101407577.0,,3,SUR,1.18
TQBR,2016-04-22,Yandex clA,YNDX,1585,98906638.0,1200.5,1190.0,1218.0,1196.0,1204.0,1196.0,82140,1204.0,1204.0,1196.0,98906638.0,98906638.0,98906638.0,,3,SUR,-0.33
TQBR,2016-04-25,Yandex clA,YNDX,1458,95057589.0,1197.5,1175.5,1218.5,1178.0,1192.5,1176.5,79699,1192.5,1192.5,1178.0,95057589.0,95057589.0,95057589.0,,3,SUR,-1.63
TQBR,2016-04-26,Yandex clA,YNDX,642,40672480.5,1180.0,1171.0,1190.0,1173.0,1181.5,1173.0,34421,1181.5,1181.5,1173.0,40672480.5,40672480.5,40672480.5,,3,SUR,-0.3
TQBR,2016-04-27,Yandex clA,YNDX,1065,70532830.5,1182.0,1164.5,1197.0,1194.0,1184.5,1194.0,59542,1184.5,1184.5,1194.0,70532830.5,70532830.5,70532830.5,,3,SUR,1.79
TQBR,2016-04-28,Yandex clA,YNDX,4589,411009634.5,1191.5,1190.5,1310.0,1300.0,1256.0,1300.0,327259,1256.0,1256.0,1300.0,411009634.5,411009634.5,411009634.5,,3,SUR,8.88
TQBR,2016-04-29,Yandex clA,YNDX,2198,106325710.0,1290.0,1271.0,1313.0,1301.0,1290.0,1301.0,82429,1290.0,1290.0,1301.0,106325710.0,106325710.0,106325710.0,,3,SUR,0.08
TQBR,2016-05-04,Yandex clA,YNDX,1368,52801746.0,1301.5,1295.5,1400.0,1337.5,1325.0,1337.5,39847,1325.0,1325.0,1337.5,52801746.0,52801746.0,52801746.0,,3,SUR,2.81
TQBR,2016-05-05,Yandex clA,YNDX,1304,79651170.0,1334.5,1292.0,1334.5,1316.5,1312.5,1316.5,60698,1312.5,1312.5,1316.5,79651170.0,79651170.0,79651170.0,,3,SUR,-1.57
TQBR,2016-05-06,Yandex clA,YNDX,1248,90359582.5,1315.5,1270.0,1316.0,1291.0,1298.0,1291.0,69623,1298.0,1298.0,1291.0,90359582.5,90359582.5,90359582.5,,3,SUR,-1.94
TQBR,2016-05-10,Yandex clA,YNDX,1313,70969962.5,1283.5,1260.0,1299.5,1291.5,1281.5,1291.5,55376,1281.5,1281.5,1291.5,70969962.5,70969962.5,70969962.5,,3,SUR,0.04
TQBR,2016-05-11,Yandex clA,YNDX,1023,38832612.0,1298.0,1284.5,1310.0,1286.0,1298.0,1286.0,29919,1298.0,1298.0,1286.0,38832612.0,38832612.0,38832612.0,,3,SUR,-0.43
TQBR,2016-05-12,Yandex clA,YNDX,1084,47058296.5,1286.5,1266.0,1298.5,1277.0,1284.5,1277.0,36641,1284.5,1284.5,1277.0,47058296.5,47058296.5,47058296.5,,3,SUR,-0.7
TQBR,2016-05-13,Yandex clA,YNDX,1135,45256574.5,1264.0,1250.5,1289.0,1276.5,1268.5,1276.5,35654,1269.5,1269.5,1276.5,45256574.5,45256574.5,45256574.5,,3,SUR,-0.04
TQBR,2016-05-16,Yandex clA,YNDX,950,46438092.5,1263.5,1262.0,1302.0,1297.0,1292.0,1297.0,35943,1292.0,1292.0,1297.0,46438092.5,46438092.5,46438092.5,,3,SUR,1.61
TQBR,2016-05-17,Yandex clA,YNDX,910,58108053.0,1299.5,1266.0,1299.5,1279.5,1280.5,1278.5,45377,1280.5,1280.5,1279.5,58108053.0,58108053.0,58108053.0,,3,SUR,-1.43
TQBR,2016-05-18,Yandex clA,YNDX,519,31272146.0,1276.5,1265.0,1287.5,1267.5,1274.5,1267.5,24537,1274.5,1274.5,1267.5,31272146.0,31272146.0,31272146.0,,3,SUR,-0.86
TQBR,2016-05-19,Yandex clA,YNDX,1030,43091311.0,1265.0,1245.0,1272.5,1261.0,1258.0,1261.0,34258,1258.0,1258.0,1261.0,43091311.0,43091311.0,43091311.0,,3,SUR,-0.51
TQBR,2016-05-20,Yandex clA,YNDX,957,61958550.5,1260.5,1256.0,1282.5,1278.0,1273.5,1278.0,48660,1273.5,1273.5,1278.0,61958550.5,61958550.5,61958550.5,,3,SUR,1.35
TQBR,2016-05-23,Yandex clA,YNDX,687,51054682.0,1276.0,1266.0,1298.5,1288.0,1287.0,1288.0,39669,1287.0,1287.0,1288.0,51054682.0,51054682.0,51054682.0,,3,SUR,0.78
TQBR,2016-05-24,Yandex clA,YNDX,590,36518927.0,1285.0,1278.5,1291.0,1289.5,1285.5,1289.5,28406,1285.5,1285.5,1289.5,36518927.0,36518927.0,36518927.0,,3,SUR,0.12
TQBR,2016-05-25,Yandex clA,YNDX,1037,81136000.5,1287.5,1280.5,1309.0,1305.0,1295.0,1305.0,62664,1295.0,1295.0,1305.0,81136000.5,81136000.5,81136000.5,,3,SUR,1.2
TQBR,2016-05-26,Yandex clA,YNDX,879,67585895.5,1302.5,1292.5,1329.0,1303.5,1313.0,1303.5,51473,1313.0,1313.0,1303.5,67585895.5,67585895.5,67585895.5,,3,SUR,-0.11
TQBR,2016-05-27,Yandex clA,YNDX,702,42940959.0,1310.0,1305.5,1329.5,1311.0,1318.0,1311.0,32577,1318.0,1318.0,1311.0,42940959.0,42940959.0,42940959.0,,3,SUR,0.58
